,id,name,form,gen,type1,type2,stats,hp,attack,defense,sp_attack,sp_defense,speed,species,height_m,weight_kg,ability_0,ability_1,ability_hidden,ev_yield,catch_rate,growth_rate,egg_groups,male_percent,female_percent,egg_cycles,egg_steps,is_legendary,evo_1,evo_1_details,evo_2,evo_3,evo_2_details,evo_stage,evo_is_final
16,17,Pidgeotto,,1,normal,flying,349,63,60,55,50,50,71,Bird Pokémon,1.1,30.0,Keen Eye,Keen Eye,Big Pecks,2 Speed,120,Medium Slow,Flying,50.0,50.0,15.0,3855.0,0,Pidgey,Level 18,Pidgeotto,Pidgeot,Level 36,2.0,0
17,18,Pidgeot,,1,normal,flying,479,83,80,75,70,70,101,Bird Pokémon,1.5,39.5,Keen Eye,Keen Eye,Big Pecks,3 Speed,45,Medium Slow,Flying,50.0,50.0,15.0,3855.0,0,Pidgey,Level 18,Pidgeotto,Pidgeot,Level 36,3.0,1
18,19,Rattata,,1,normal,,253,30,56,35,25,35,72,Mouse Pokémon,0.3,3.5,Run Away,Run Away,Hustle,1 Speed,255,Medium Fast,Field,50.0,50.0,15.0,3855.0,0,Rattata,Level 20,Raticate,,,1.0,0
19,20,Raticate,,1,normal,,413,55,81,60,50,70,97,Mouse Pokémon,0.7,18.5,Run Away,Run Away,Hustle,2 Speed,127,Medium Fast,Field,50.0,50.0,15.0,3855.0,0,Rattata,Level 20,Raticate,,,2.0,1
20,21,Spearow,,1,normal,flying,262,40,60,30,31,31,70,Tiny Bird Pokémon,0.3,2.0,Keen Eye,,Sniper,1 Speed,255,Medium Fast,Flying,50.0,50.0,15.0,3855.0,0,Spearow,Level 20,Fearow,,,1.0,0
21,22,Fearow,,1,normal,flying,442,65,90,65,61,61,100,Beak Pokémon,1.2,38.0,Keen Eye,,Sniper,2 Speed,90,Medium Fast,Flying,50.0,50.0,15.0,3855.0,0,Spearow,Level 20,Fearow,,,2.0,1
22,23,Ekans,,1,poison,,288,35,60,44,40,54,55,Snake Pokémon,2.0,6.9,Intimidate,Intimidate,Unnerve,1 Attack,255,Medium Fast,"Dragon,Field",50.0,50.0,20.0,5140.0,0,Ekans,Level 22,Arbok,,,1.0,0
23,24,Arbok,,1,poison,,448,60,95,69,65,79,80,Cobra Pokémon,3.5,65.0,Intimidate,Intimidate,Unnerve,2 Attack,90,Medium Fast,"Dragon,Field",50.0,50.0,20.0,5140.0,0,Ekans,Level 22,Arbok,,,2.0,1
24,25,Pikachu,,1,electric,,320,35,55,40,50,50,90,Mouse Pokémon,0.4,6.0,Static,,Lightning Rod,2 Speed,190,Medium Fast,"Fairy,Field",50.0,50.0,10.0,2570.0,0,Pichu,high Friendship,Pikachu,Raichu,"use Thunder Stone, in Alola",2.0,0
25,26,Raichu,,1,electric,,485,60,90,55,90,80,110,Mouse Pokémon,0.8,30.0,Static,,Lightning Rod,3 Speed,75,Medium Fast,"Fairy,Field",50.0,50.0,10.0,2570.0,0,Pichu,high Friendship,Pikachu,Raichu,"use Thunder Stone, outside Alola",3.0,1
26,27,Sandshrew,,1,ground,,300,50,75,85,20,30,40,Mouse Pokémon,0.6,12.0,Sand Veil,,Sand Rush,1 Defense,255,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Sandshrew,Level 22,Sandslash,,,1.0,0
27,28,Sandslash,,1,ground,,450,75,100,110,45,55,65,Mouse Pokémon,1.0,29.5,Sand Veil,,Sand Rush,2 Defense,90,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Sandshrew,Level 22,Sandslash,,,2.0,1
28,29,Nidoran♀,,1,poison,,275,55,47,52,40,40,41,Poison Pin Pokémon,0.4,7.0,Poison Point,Poison Point,Hustle,1 HP,235,Medium Slow,"Field,Monster",0.0,100.0,20.0,5140.0,0,Nidoran♀,Level 16,Nidorina,Nidoqueen,use Moon Stone,1.0,0
29,30,Nidorina,,1,poison,,365,70,62,67,55,55,56,Poison Pin Pokémon,0.8,20.0,Poison Point,Poison Point,Hustle,2 HP,120,Medium Slow,Undiscovered,0.0,100.0,20.0,5140.0,0,Nidoran♀,Level 16,Nidorina,Nidoqueen,use Moon Stone,2.0,0
30,31,Nidoqueen,,1,poison,ground,505,90,92,87,75,85,76,Drill Pokémon,1.3,60.0,Poison Point,Poison Point,Sheer Force,3 HP,45,Medium Slow,Undiscovered,0.0,100.0,20.0,5140.0,0,Nidoran♀,Level 16,Nidorina,Nidoqueen,use Moon Stone,3.0,1
31,32,Nidoran♂,,1,poison,,273,46,57,40,40,40,50,Poison Pin Pokémon,0.5,9.0,Poison Point,Poison Point,Hustle,1 Attack,235,Medium Slow,"Field,Monster",100.0,0.0,20.0,5140.0,0,Nidoran♂,Level 16,Nidorino,Nidoking,use Moon Stone,1.0,0
32,33,Nidorino,,1,poison,,365,61,72,57,55,55,65,Poison Pin Pokémon,0.9,19.5,Poison Point,Poison Point,Hustle,2 Attack,120,Medium Slow,"Field,Monster",100.0,0.0,20.0,5140.0,0,Nidoran♂,Level 16,Nidorino,Nidoking,use Moon Stone,2.0,0
33,34,Nidoking,,1,poison,ground,505,81,102,77,85,75,85,Drill Pokémon,1.4,62.0,Poison Point,Poison Point,Sheer Force,3 Attack,45,Medium Slow,"Field,Monster",100.0,0.0,20.0,5140.0,0,Nidoran♂,Level 16,Nidorino,Nidoking,use Moon Stone,3.0,1
34,35,Clefairy,,1,fairy,,323,70,45,48,60,65,35,Fairy Pokémon,0.6,7.5,Cute Charm,Cute Charm,Friend Guard,2 HP,150,Fast,Fairy,25.0,75.0,10.0,2570.0,0,Cleffa,high Friendship,Clefairy,Clefable,use Moon Stone,2.0,0
35,36,Clefable,,1,fairy,,483,95,70,73,95,90,60,Fairy Pokémon,1.3,40.0,Cute Charm,Cute Charm,Unaware,3 HP,25,Fast,Fairy,25.0,75.0,10.0,2570.0,0,Cleffa,high Friendship,Clefairy,Clefable,use Moon Stone,3.0,1
36,37,Vulpix,,1,fire,,299,38,41,40,50,65,65,Fox Pokémon,0.6,9.9,Flash Fire,,Drought,1 Speed,190,Medium Fast,Field,25.0,75.0,20.0,5140.0,0,Vulpix,use Fire Stone,Ninetales,,,1.0,0
37,38,Ninetales,,1,fire,,505,73,76,75,81,100,100,Fox Pokémon,1.1,19.9,Flash Fire,,Drought,"1 Sp. Def, 1 Speed",75,Medium Fast,Field,25.0,75.0,20.0,5140.0,0,Vulpix,use Fire Stone,Ninetales,,,2.0,1
38,39,Jigglypuff,,1,normal,fairy,270,115,45,20,45,25,20,Balloon Pokémon,0.5,5.5,Cute Charm,Cute Charm,Friend Guard,2 HP,170,Fast,Fairy,25.0,75.0,10.0,2570.0,0,Igglybuff,high Friendship,Jigglypuff,Wigglytuff,use Moon Stone,2.0,0
39,40,Wigglytuff,,1,normal,fairy,435,140,70,45,85,50,45,Balloon Pokémon,1.0,12.0,Cute Charm,Cute Charm,Frisk,3 HP,50,Fast,Fairy,25.0,75.0,10.0,2570.0,0,Igglybuff,high Friendship,Jigglypuff,Wigglytuff,use Moon Stone,3.0,1
40,41,Zubat,,1,poison,flying,245,40,45,35,30,40,55,Bat Pokémon,0.8,7.5,Inner Focus,,Infiltrator,1 Speed,255,Medium Fast,Flying,50.0,50.0,15.0,3855.0,0,Zubat,Level 22,Golbat,Crobat,high Friendship,1.0,0
41,42,Golbat,,1,poison,flying,455,75,80,70,65,75,90,Bat Pokémon,1.6,55.0,Inner Focus,,Infiltrator,2 Speed,90,Medium Fast,Flying,50.0,50.0,15.0,3855.0,0,Zubat,Level 22,Golbat,Crobat,high Friendship,2.0,0
42,43,Oddish,,1,grass,poison,320,45,50,55,75,65,30,Weed Pokémon,0.5,5.4,Chlorophyll,,Run Away,1 Sp. Atk,255,Medium Slow,Grass,50.0,50.0,20.0,5140.0,0,Oddish,Level 21,Gloom,Bellossom,use Sun Stone,1.0,0
43,44,Gloom,,1,grass,poison,395,60,65,70,85,75,40,Weed Pokémon,0.8,8.6,Chlorophyll,,Stench,2 Sp. Atk,120,Medium Slow,Grass,50.0,50.0,20.0,5140.0,0,Oddish,Level 21,Gloom,Bellossom,use Sun Stone,2.0,0
44,45,Vileplume,,1,grass,poison,490,75,80,85,110,90,50,Flower Pokémon,1.2,18.6,Chlorophyll,,Effect Spore,3 Sp. Atk,45,Medium Slow,Grass,50.0,50.0,20.0,5140.0,0,Oddish,Level 21,Gloom,Vileplume,use Leaf Stone,3.0,1
45,46,Paras,,1,bug,grass,285,35,70,55,45,55,25,Mushroom Pokémon,0.3,5.4,Effect Spore,Effect Spore,Damp,1 Attack,190,Medium Fast,"Bug,Grass",50.0,50.0,20.0,5140.0,0,Paras,Level 24,Parasect,,,1.0,0
46,47,Parasect,,1,bug,grass,405,60,95,80,60,80,30,Mushroom Pokémon,1.0,29.5,Effect Spore,Effect Spore,Damp,"2 Attack, 1 Defense",75,Medium Fast,"Bug,Grass",50.0,50.0,20.0,5140.0,0,Paras,Level 24,Parasect,,,2.0,1
47,48,Venonat,,1,bug,poison,305,60,55,50,40,55,45,Insect Pokémon,1.0,30.0,Compound Eyes,Compound Eyes,Run Away,1 Sp. Def,190,Medium Fast,Bug,50.0,50.0,20.0,5140.0,0,Venonat,Level 31,Venomoth,,,1.0,0
48,49,Venomoth,,1,bug,poison,450,70,65,60,90,75,90,Poison Moth Pokémon,1.5,12.5,Shield Dust,Shield Dust,Wonder Skin,"1 Sp. Atk, 1 Speed",75,Medium Fast,Bug,50.0,50.0,20.0,5140.0,0,Venonat,Level 31,Venomoth,,,2.0,1
49,50,Diglett,,1,ground,,265,10,55,25,35,45,95,Mole Pokémon,0.2,0.8,Sand Veil,Sand Veil,Sand Force,1 Speed,255,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Diglett,Level 26,Dugtrio,,,1.0,0
50,51,Dugtrio,,1,ground,,425,35,100,50,50,70,120,Mole Pokémon,0.7,33.3,Sand Veil,Sand Veil,Sand Force,2 Speed,50,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Diglett,Level 26,Dugtrio,,,2.0,1
51,52,Meowth,,1,normal,,290,40,45,35,40,40,90,Scratch Cat Pokémon,0.4,4.2,Pickup,Pickup,Unnerve,1 Speed,255,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Meowth,Level 28,Persian,,,1.0,0
52,53,Persian,,1,normal,,440,65,70,60,65,65,115,Classy Cat Pokémon,1.0,32.0,Limber,Limber,Unnerve,2 Speed,90,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Meowth,Level 28,Persian,,,2.0,1
53,54,Psyduck,,1,water,,320,50,52,48,65,50,55,Duck Pokémon,0.8,19.6,Damp,Damp,Swift Swim,1 Sp. Atk,190,Medium Fast,"Field,Water 1",50.0,50.0,20.0,5140.0,0,Psyduck,Level 33,Golduck,,,1.0,0
54,55,Golduck,,1,water,,500,80,82,78,95,80,85,Duck Pokémon,1.7,76.6,Damp,Damp,Swift Swim,2 Sp. Atk,75,Medium Fast,"Field,Water 1",50.0,50.0,20.0,5140.0,0,Psyduck,Level 33,Golduck,,,2.0,1
55,56,Mankey,,1,fighting,,305,40,80,35,35,45,70,Pig Monkey Pokémon,0.5,28.0,Vital Spirit,Vital Spirit,Defiant,1 Attack,190,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Mankey,Level 28,Primeape,Annihilape,Use Rage Fist 20 times,1.0,0
56,57,Primeape,,1,fighting,,455,65,105,60,60,70,95,Pig Monkey Pokémon,1.0,32.0,Vital Spirit,Vital Spirit,Defiant,2 Attack,75,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Mankey,Level 28,Primeape,Annihilape,Use Rage Fist 20 times,2.0,0
57,58,Growlithe,,1,fire,,350,55,70,45,70,50,60,Puppy Pokémon,0.7,19.0,Intimidate,Intimidate,Justified,1 Attack,190,Slow,Field,75.0,25.0,20.0,5140.0,0,Growlithe,use Fire Stone,Arcanine,,,1.0,0
58,59,Arcanine,,1,fire,,555,90,110,80,100,80,95,Legendary Pokémon,1.9,155.0,Intimidate,Intimidate,Justified,2 Attack,75,Slow,Field,75.0,25.0,20.0,5140.0,0,Growlithe,use Fire Stone,Arcanine,,,2.0,1
59,60,Poliwag,,1,water,,300,40,50,40,40,40,90,Tadpole Pokémon,0.6,12.4,Water Absorb,Water Absorb,Swift Swim,1 Speed,255,Medium Slow,Water 1,50.0,50.0,20.0,5140.0,0,Poliwag,Level 25,Poliwhirl,Politoed,trade holding Kings Rock,1.0,0
60,61,Poliwhirl,,1,water,,385,65,65,65,50,50,90,Tadpole Pokémon,1.0,20.0,Water Absorb,Water Absorb,Swift Swim,2 Speed,120,Medium Slow,Water 1,50.0,50.0,20.0,5140.0,0,Poliwag,Level 25,Poliwhirl,Politoed,trade holding Kings Rock,2.0,0
61,62,Poliwrath,,1,water,fighting,510,90,95,95,70,90,70,Tadpole Pokémon,1.3,54.0,Water Absorb,Water Absorb,Swift Swim,3 Defense,45,Medium Slow,Water 1,50.0,50.0,20.0,5140.0,0,Poliwag,Level 25,Poliwhirl,Poliwrath,use Water Stone,3.0,1
62,63,Abra,,1,psychic,,310,25,20,15,105,55,90,Psi Pokémon,0.9,19.5,Synchronize,Synchronize,Magic Guard,1 Sp. Atk,200,Medium Slow,Human-Like,75.0,25.0,20.0,5140.0,0,Abra,Level 16,Kadabra,Alakazam,Trade,1.0,0
63,64,Kadabra,,1,psychic,,400,40,35,30,120,70,105,Psi Pokémon,1.3,56.5,Synchronize,Synchronize,Magic Guard,2 Sp. Atk,100,Medium Slow,Human-Like,75.0,25.0,20.0,5140.0,0,Abra,Level 16,Kadabra,Alakazam,Trade,2.0,0
64,65,Alakazam,,1,psychic,,500,55,50,45,135,95,120,Psi Pokémon,1.5,48.0,Synchronize,Synchronize,Magic Guard,3 Sp. Atk,50,Medium Slow,Human-Like,75.0,25.0,20.0,5140.0,0,Abra,Level 16,Kadabra,Alakazam,Trade,3.0,1
65,66,Machop,,1,fighting,,305,70,80,50,35,35,35,Superpower Pokémon,0.8,19.5,Guts,Guts,Steadfast,1 Attack,180,Medium Slow,Human-Like,75.0,25.0,20.0,5140.0,0,Machop,Level 28,Machoke,Machamp,Trade,1.0,0
66,67,Machoke,,1,fighting,,405,80,100,70,50,60,45,Superpower Pokémon,1.5,70.5,Guts,Guts,Steadfast,2 Attack,90,Medium Slow,Human-Like,75.0,25.0,20.0,5140.0,0,Machop,Level 28,Machoke,Machamp,Trade,2.0,0
67,68,Machamp,,1,fighting,,505,90,130,80,65,85,55,Superpower Pokémon,1.6,130.0,Guts,Guts,Steadfast,3 Attack,45,Medium Slow,Human-Like,75.0,25.0,20.0,5140.0,0,Machop,Level 28,Machoke,Machamp,Trade,3.0,1
68,69,Bellsprout,,1,grass,poison,300,50,75,35,70,30,40,Flower Pokémon,0.7,4.0,Chlorophyll,,Gluttony,1 Attack,255,Medium Slow,Grass,50.0,50.0,20.0,5140.0,0,Bellsprout,Level 21,Weepinbell,Victreebel,use Leaf Stone,1.0,0
69,70,Weepinbell,,1,grass,poison,390,65,90,50,85,45,55,Flycatcher Pokémon,1.0,6.4,Chlorophyll,,Gluttony,2 Attack,120,Medium Slow,Grass,50.0,50.0,20.0,5140.0,0,Bellsprout,Level 21,Weepinbell,Victreebel,use Leaf Stone,2.0,0
70,71,Victreebel,,1,grass,poison,490,80,105,65,100,70,70,Flycatcher Pokémon,1.7,15.5,Chlorophyll,,Gluttony,3 Attack,45,Medium Slow,Grass,50.0,50.0,20.0,5140.0,0,Bellsprout,Level 21,Weepinbell,Victreebel,use Leaf Stone,3.0,1
71,72,Tentacool,,1,water,poison,335,40,40,35,50,100,70,Jellyfish Pokémon,0.9,45.5,Clear Body,Clear Body,Rain Dish,1 Sp. Def,190,Slow,Water 3,50.0,50.0,20.0,5140.0,0,Tentacool,Level 30,Tentacruel,,,1.0,0
72,73,Tentacruel,,1,water,poison,515,80,70,65,80,120,100,Jellyfish Pokémon,1.6,55.0,Clear Body,Clear Body,Rain Dish,2 Sp. Def,60,Slow,Water 3,50.0,50.0,20.0,5140.0,0,Tentacool,Level 30,Tentacruel,,,2.0,1
73,74,Geodude,,1,rock,ground,300,40,80,100,30,30,20,Rock Pokémon,0.4,20.0,Rock Head,Rock Head,Sand Veil,1 Defense,255,Medium Slow,Mineral,50.0,50.0,15.0,3855.0,0,Geodude,Level 25,Graveler,Golem,Trade,1.0,0
74,75,Graveler,,1,rock,ground,390,55,95,115,45,45,35,Rock Pokémon,1.0,105.0,Rock Head,Rock Head,Sand Veil,2 Defense,120,Medium Slow,Mineral,50.0,50.0,15.0,3855.0,0,Geodude,Level 25,Graveler,Golem,Trade,2.0,0
75,76,Golem,,1,rock,ground,495,80,120,130,55,65,45,Megaton Pokémon,1.4,300.0,Rock Head,Rock Head,Sand Veil,3 Defense,45,Medium Slow,Mineral,50.0,50.0,15.0,3855.0,0,Geodude,Level 25,Graveler,Golem,Trade,3.0,1
76,77,Ponyta,,1,fire,,410,50,85,55,65,65,90,Fire Horse Pokémon,1.0,30.0,Run Away,Run Away,Flame Body,1 Speed,190,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Ponyta,Level 40,Rapidash,,,1.0,0
77,78,Rapidash,,1,fire,,500,65,100,70,80,80,105,Fire Horse Pokémon,1.7,95.0,Run Away,Run Away,Flame Body,2 Speed,60,Medium Fast,Field,50.0,50.0,20.0,5140.0,0,Ponyta,Level 40,Rapidash,,,2.0,1
78,79,Slowpoke,,1,water,psychic,315,90,65,65,40,40,15,Dopey Pokémon,1.2,36.0,Oblivious,Oblivious,Regenerator,1 HP,190,Medium Fast,"Monster,Water 1",50.0,50.0,20.0,5140.0,0,Slowpoke,trade holding Kings Rock,Slowking,,,1.0,0
79,80,Slowbro,,1,water,psychic,490,95,75,110,100,80,30,Hermit Crab Pokémon,1.6,78.5,Oblivious,Oblivious,Regenerator,2 Defense,75,Medium Fast,"Monster,Water 1",50.0,50.0,20.0,5140.0,0,Slowpoke,Level 37,Slowbro,,,2.0,1
80,81,Magnemite,,1,electric,steel,325,25,35,70,95,55,45,Magnet Pokémon,0.3,6.0,Magnet Pull,Magnet Pull,Analytic,1 Sp. Atk,190,Medium Fast,Mineral,,,20.0,5140.0,0,Magnemite,Level 30,Magneton,Magnezone,"use Thunder Stone, in Gen 8+, or level up in a Magnetic Field area",1.0,0
81,82,Magneton,,1,electric,steel,465,50,60,95,120,70,70,Magnet Pokémon,1.0,60.0,Magnet Pull,Magnet Pull,Analytic,2 Sp. Atk,60,Medium Fast,Mineral,,,20.0,5140.0,0,Magnemite,Level 30,Magneton,Magnezone,"use Thunder Stone, in Gen 8+, or level up in a Magnetic Field area",2.0,0
82,83,Farfetch'd,,1,normal,flying,377,52,90,55,58,62,60,Wild Duck Pokémon,0.8,15.0,Keen Eye,Keen Eye,Defiant,1 Attack,45,Medium Fast,"Field,Flying",50.0,50.0,20.0,5140.0,0,Farfetch'd,,,,,1.0,1
83,84,Doduo,,1,normal,flying,310,35,85,45,35,35,75,Twin Bird Pokémon,1.4,39.2,Run Away,Run Away,Tangled Feet,1 Attack,190,Medium Fast,Flying,50.0,50.0,20.0,5140.0,0,Doduo,Level 31,Dodrio,,,1.0,0
84,85,Dodrio,,1,normal,flying,470,60,110,70,60,60,110,Triple Bird Pokémon,1.8,85.2,Run Away,Run Away,Tangled Feet,2 Attack,45,Medium Fast,Flying,50.0,50.0,20.0,5140.0,0,Doduo,Level 31,Dodrio,,,2.0,1
85,86,Seel,,1,water,,325,65,45,55,45,70,45,Sea Lion Pokémon,1.1,90.0,Thick Fat,Thick Fat,Ice Body,1 Sp. Def,190,Medium Fast,"Field,Water 1",50.0,50.0,20.0,5140.0,0,Seel,Level 34,Dewgong,,,1.0,0
86,87,Dewgong,,1,water,ice,475,90,70,80,70,95,70,Sea Lion Pokémon,1.7,120.0,Thick Fat,Thick Fat,Ice Body,2 Sp. Def,75,Medium Fast,"Field,Water 1",50.0,50.0,20.0,5140.0,0,Seel,Level 34,Dewgong,,,2.0,1
87,88,Grimer,,1,poison,,325,80,80,50,40,50,25,Sludge Pokémon,0.9,30.0,Stench,Stench,Poison Touch,1 HP,190,Medium Fast,Amorphous,50.0,50.0,20.0,5140.0,0,Grimer,Level 38,Muk,,,1.0,0
88,89,Muk,,1,poison,,500,105,105,75,65,100,50,Sludge Pokémon,1.2,30.0,Stench,Stench,Poison Touch,"1 HP, 1 Attack",75,Medium Fast,Amorphous,50.0,50.0,20.0,5140.0,0,Grimer,Level 38,Muk,,,2.0,1
89,90,Shellder,,1,water,,305,30,65,100,45,25,40,Bivalve Pokémon,0.3,4.0,Shell Armor,Shell Armor,Overcoat,1 Defense,190,Slow,Water 3,50.0,50.0,20.0,5140.0,0,Shellder,use Water Stone,Cloyster,,,1.0,0
90,91,Cloyster,,1,water,ice,525,50,95,180,85,45,70,Bivalve Pokémon,1.5,132.5,Shell Armor,Shell Armor,Overcoat,2 Defense,60,Slow,Water 3,50.0,50.0,20.0,5140.0,0,Shellder,use Water Stone,Cloyster,,,2.0,1
91,92,Gastly,,1,ghost,poison,310,30,35,30,100,35,80,Gas Pokémon,1.3,0.1,Levitate,,,1 Sp. Atk,190,Medium Slow,Amorphous,50.0,50.0,20.0,5140.0,0,Gastly,Level 25,Haunter,Gengar,Trade,1.0,0
92,93,Haunter,,1,ghost,poison,405,45,50,45,115,55,95,Gas Pokémon,1.6,0.1,Levitate,,,2 Sp. Atk,90,Medium Slow,Amorphous,50.0,50.0,20.0,5140.0,0,Gastly,Level 25,Haunter,Gengar,Trade,2.0,0
93,94,Gengar,,1,ghost,poison,500,60,65,60,130,75,110,Shadow Pokémon,1.5,40.5,Cursed Body,,,3 Sp. Atk,45,Medium Slow,Amorphous,50.0,50.0,20.0,5140.0,0,Gastly,Level 25,Haunter,Gengar,Trade,3.0,1
94,95,Onix,,1,rock,ground,385,35,45,160,30,45,70,Rock Snake Pokémon,8.8,210.0,Rock Head,Rock Head,Weak Armor,1 Defense,45,Medium Fast,Mineral,50.0,50.0,25.0,6425.0,0,Onix,trade holding Metal Coat,Steelix,,,1.0,0
95,96,Drowzee,,1,psychic,,328,60,48,45,43,90,42,Hypnosis Pokémon,1.0,32.4,Insomnia,Insomnia,Inner Focus,1 Sp. Def,190,Medium Fast,Human-Like,50.0,50.0,20.0,5140.0,0,Drowzee,Level 26,Hypno,,,1.0,0
96,97,Hypno,,1,psychic,,483,85,73,70,73,115,67,Hypnosis Pokémon,1.6,75.6,Insomnia,Insomnia,Inner Focus,2 Sp. Def,75,Medium Fast,Human-Like,50.0,50.0,20.0,5140.0,0,Drowzee,Level 26,Hypno,,,2.0,1
97,98,Krabby,,1,water,,325,30,105,90,25,25,50,River Crab Pokémon,0.4,6.5,Hyper Cutter,Hyper Cutter,Sheer Force,1 Attack,225,Medium Fast,Water 3,50.0,50.0,20.0,5140.0,0,Krabby,Level 28,Kingler,,,1.0,0
